Dataset,Image Path,L Mean,L Std,A Mean,A Std,B Mean,B Std,Cluster Label
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/glas_56_0_0_775_522.tif,137.0551081448523,43.10817977556033,48.09807440365839,13.18323606002573,223.00664689160797,21.58224110123172,5
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/crag_41_0_0_1511_1516.tif,199.52028396857523,34.804677817545794,15.377103090965287,15.812695627427708,223.52732861391135,63.440436529822186,3
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/crag_34_0_0_1512_1516.tif,227.24884739149252,31.991006974539225,7.9145132693945355,20.483760269294645,135.50329597171617,122.64088171702757,0
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/glas_9_0_0_775_522.tif,161.80467432950192,38.764425235656525,39.0975923866024,15.93612202066215,208.28013348164626,61.05190043814049,4
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/crag_4_0_0_1509_1516.tif,191.22460181741565,39.996551546921886,20.252921783284464,16.726625029443895,218.14933792145982,65.46647080998595,0
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/pannuke_2_0_0_500_500.tif,178.362904,45.72892201535899,24.140392,19.043236334361232,224.626832,43.03820946140506,4
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/glas_48_0_0_775_522.tif,161.32822889630452,36.3423883130721,25.137214188604624,9.455728958450692,222.93717958225187,39.5879059508065,2
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/crag_46_0_0_1505_1516.tif,198.65753337599384,29.946223914565,18.494739171977315,9.832057580149852,238.38347855433514,27.759487350748408,3
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/dpath_54_0_0_1047_794.tif,132.58431310280784,42.70042574446295,32.39649688807412,8.510885596564592,229.52983455188027,12.630423881165376,5
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/dpath_34_0_0_1196_640.tif,139.28485968854514,48.2010254310658,20.63525945861204,7.459905911210063,233.34277931647156,14.092950476180004,5
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/glas_44_0_0_775_522.tif,186.76477814856014,42.018475008693585,24.292510196514645,17.53100491974773,210.45799283154122,71.46219070673705,4
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/crag_36_0_0_1500_1516.tif,217.60986675461743,26.44300764154641,11.881098504837292,11.232394475509013,238.4268166226913,49.87426111851328,3
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/crag_2_0_0_1512_1516.tif,211.15464324105486,35.147574420736056,12.701992241487623,13.621753540982677,230.10321735701024,59.73447411435998,3
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/dpath_60_0_0_1403_1092.tif,171.47512525488293,52.1416216814119,26.947680793903174,17.212520654274165,235.16591344032543,32.18961982892329,5
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/glas_52_0_0_775_522.tif,202.45892225930046,25.25069826015508,22.40216536892844,11.217642109989766,226.81650970213818,55.368921156749025,3
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/consep_7_0_0_500_500.tif,220.899044,29.54403919382155,12.694444,18.451203958844093,184.520848,107.45899793577502,0
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/pannuke_27_0_0_500_500.tif,144.540676,74.43610194967911,14.964788,19.715443188400712,207.193996,87.30121173014716,1
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/dpath_44_0_0_1340_1358.tif,148.44533774426836,49.76006229131782,32.52689919328248,15.154301208379641,230.40730936627614,15.871057269437932,5
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/consep_4_0_0_500_500.tif,212.367084,20.293666138402493,16.280376,5.830750663390092,245.98064,16.8958899496416,3
lizard,/nfs/datasets/public/ProcessedHistology/Lizard/inputs/original/glas_45_0_0_775_522.tif,150.28457545420838,36.57478619446419,39.031219873934,9.594654571635736,222.20684217031268,23.44757012897791,5
