dataset,img_path,l_mean,l_std,a_mean,a_std,b_mean,b_std,labelCluster
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_56_0_0_775_522.tif,137.0551081448523,43.10817977556033,48.09807440365839,13.18323606002573,223.0066469,21.58224110123172,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_41_0_0_1511_1516.tif,199.52028396857523,34.804677817545794,15.377103090965289,15.812695627427708,223.52732861391132,63.440436529822186,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_34_0_0_1512_1516.tif,227.2488473914925,31.991006974539225,7.914513269394535,20.483760269294645,135.50329597171617,122.64088171702755,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_9_0_0_775_522.tif,161.80467432950192,38.764425235656525,39.09759239,15.93612202066215,208.28013348164623,61.05190043814049,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_4_0_0_1509_1516.tif,191.22460181741565,39.996551546921886,20.252921783284464,16.726625029443895,218.14933792145985,65.46647080998595,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/pannuke_2_0_0_500_500.tif,178.362904,45.72892201535899,24.140392,19.043236334361232,224.626832,43.03820946140506,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_48_0_0_775_522.tif,161.32822889630452,36.34238831,25.137214188604624,9.455728958450692,222.93717958225187,39.58790595,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_46_0_0_1505_1516.tif,198.65753337599384,29.94622391,18.494739171977315,9.832057580149852,238.38347855433517,27.759487350748408,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_54_0_0_1047_794.tif,132.58431310280784,42.70042574446295,32.39649688807412,8.510885596564592,229.52983455188027,12.630423881165376,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_34_0_0_1196_640.tif,139.28485968854514,48.20102543,20.63525945861204,7.459905911210063,233.3427793164716,14.092950476180004,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_44_0_0_775_522.tif,186.7647781485601,42.01847500869359,24.292510196514645,17.53100491974773,210.4579928315412,71.46219070673705,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_36_0_0_1500_1516.tif,217.60986675461743,26.44300764154641,11.881098504837292,11.232394475509013,238.4268166226913,49.87426111851328,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_2_0_0_1512_1516.tif,211.15464324105488,35.147574420736056,12.701992241487623,13.621753540982676,230.10321735701024,59.73447411435998,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_60_0_0_1403_1092.tif,171.47512525488293,52.14162168,26.94768079390317,17.212520654274165,235.16591344032545,32.18961982892329,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_52_0_0_775_522.tif,202.4589222593005,25.25069826015508,22.40216536892844,11.217642109989766,226.81650970213815,55.36892115674903,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/consep_7_0_0_500_500.tif,220.899044,29.54403919382155,12.694444,18.451203958844093,184.520848,107.45899793577502,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/pannuke_27_0_0_500_500.tif,144.540676,74.43610194967911,14.964788,19.715443188400712,207.193996,87.30121173014716,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_44_0_0_1340_1358.tif,148.44533774426836,49.76006229131782,32.52689919328248,15.15430120837964,230.4073093662761,15.871057269437932,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/consep_4_0_0_500_500.tif,212.367084,20.293666138402493,16.280376,5.830750663390092,245.98064,16.89588995,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_45_0_0_775_522.tif,150.28457545420838,36.57478619446419,39.03121987,9.594654571635736,222.20684217031268,23.44757012897791,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/pannuke_17_0_0_500_500.tif,186.550828,50.10229304647059,15.446672,9.262549332,232.68976,34.53222308427883,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_51_0_0_775_522.tif,161.5563564454332,49.18425406749101,38.01981708070696,16.755520961773836,217.1906760598196,51.76426194831725,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_22_0_0_775_522.tif,135.8372265480163,47.06687656703764,46.60830799653937,11.424590810475843,227.65570139661352,23.71346713,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_15_0_0_1509_1516.tif,182.88776619089333,48.27738861902035,20.473481450785176,14.520153757809842,226.95809662692272,53.23782575249211,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_10_0_0_1318_1146.tif,125.58150537463554,34.02247327751388,40.310278940803535,9.137198314968032,226.55411247672845,9.949601295,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_36_0_0_775_522.tif,184.2006056111729,35.36130845061555,29.79211716722284,17.31629280315388,219.85687554072427,60.44867315455972,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_5_0_0_1311_981.tif,124.50033862300567,47.99449129810696,21.836551223824756,7.722880405005397,228.16644545370428,13.169406367391543,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/consep_14_0_0_500_500.tif,187.831408,36.1392093,21.868636,8.444083579613837,234.351184,17.933878046818094,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_24_0_0_1511_1516.tif,212.98992699098432,23.865763085387645,11.603204032346785,13.168272610943418,235.12738030171008,51.72497112850563,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_55_0_0_1511_1516.tif,219.99201938641693,26.697272368766352,9.563541941330856,14.03384372873554,222.08002135614117,77.77201118243539,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_6_0_0_1500_1516.tif,212.9747634,30.34208159380871,13.066225153913807,12.161293305493237,232.6837480211082,58.019562103731126,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_51_0_0_1511_1516.tif,205.5552221265688,26.050261740158454,13.423650922260505,12.023967277191844,237.47324065035824,39.57182231941596,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/pannuke_21_0_0_500_500.tif,196.980824,36.50356717200421,16.10816,8.075171169356103,234.9037,29.592023964406355,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_54_0_0_775_522.tif,176.6345593869732,48.23741189808142,30.936887900135957,16.16384978436005,215.2237474,63.23482783161142,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_45_0_0_970_699.tif,156.61706266684365,59.33249607869318,17.624379452236628,12.308768550761704,232.7279913868118,34.11151112372701,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_47_0_0_1509_1516.tif,183.3380372995099,42.78465221935699,20.79999029569286,9.521060157604945,236.7450796540021,27.183082455002708,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_62_0_0_2042_1581.tif,151.15689681768256,65.41011731,15.52778279,12.027815782633713,231.4315134856192,38.32845032936698,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_18_0_0_775_522.tif,201.73155110616736,34.69920356325295,23.575189716969472,21.81293059443776,197.9432307502163,87.75271482936802,1
